Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklWon,Tkl_Def_3rd,Tkl_Mid_3rd,Tkl_Att_3rd,Dribbler_Tkl,Tkl_Att,Tkl%,Dribbled_past,Total_blocks,Shots_Blocked,Passes_Blocked,Int,Tkl+Int,Clr,Err,Gls,Total_shots,SoT,SoT%,shots/90,SoT/90,G/Sh,G/SoT,avg_shot_distance,freekick_shots,PK_scored,PKatt,xG,npxG,npxG/Sh,G-xG,npG-npxG,SCA,SCA90,live_pass_to_shot,dead_pass_to_shot,Drib_to_shot,Shot_to_shot,Foul_drawn_to_shot,Def_action_to_shot,GCA,GCA90,live_pass_to_goal,dead_pass_to_goal,Drib_to_goal,Shot_to_goal,Foul_drawn_to_goal,Def_action_to_goal,passes_cmp,passes_att,passes_cmp%,Pass_total_dist,Prg_pass_dist,pass_5_15_cmp,pass_5_15_att,pass_5_15_cmp%,pass_15_30_cmp,pass_15_30_att,pass_15_30_cmp%,pass_30_cmp,pass_30_att,pass_30_cmp%,Ast,xAG,xA,A-xAG,direct_pass_to_shot,pass_into_att_3rd,pass_cmp_into_18_yards,cross_cmp_into_18_yards,prg_pass_opponent_area,MP,Starts,Min,G-PK,CrdY,CrdR,Gls90,Ast90,G+A90,G-PK90,G+A-PK90,npxG+xAG,xG90,xAG90,xG+xAG90,npxG90,npxG+xAG.1,Live_ball_passes,Dead_ball_passes,FK_pass,pass_betn_defender,pass_40_yards,Crs,Thrown_Ins,CK,Inswinging_CK,Outswinging_CK,Straight_CK,offiside_passes,pass_blocked_by_opponent,Touches,Touches_def_penalty_area,Touches_def_3rd,Touches_mid_3rd,Touches_att_3rd,Touches_att_penalty_area,Touches_live_ball,Dribble_succ,Dribble_att,Dribble_succ%,failed_ball_control,lost_ball_after_tackle,received_pass_successfully,prog_pass_received,2CrdY,Foul_commited,Foul_drawn,Offsides,Tackles_to_win_possession,PKwon,PKcon,OG,recovered_balls,Aerial_duel_won,Aerial_duel_lost,Aerial_duel_won%
Edgar Gonzalez,es ESP,DF,Betis,es La Liga,24,1997,16.3,25.0,19,15.0,8.0,2.0,17.0,24.0,70.8,7.0,17.0,11.0,6.0,23,48.0,82.0,0.0,1,5,1,20.0,0.31,0.06,0.2,1.0,8.6,0.0,0,0,1.0,1.0,0.19,0.0,0.0,8.0,0.49,7.0,0.0,0.0,1.0,0.0,0.0,1.0,0.06,0.0,0.0,0.0,1.0,0.0,0.0,797.0,909.0,87.7,14594.0,5482.0,314.0,338.0,92.9,403.0,439.0,91.8,71.0,103.0,68.9,1,1.0,0.2,0.0,3.0,30.0,0.0,0.0,26.0,21,14,1464,1,6,0,0.06,0.06,0.12,0.06,0.12,1.9,0.06,0.06,0.12,0.06,0.12,893.0,13.0,10.0,1.0,2.0,1,3.0,0.0,0.0,0.0,0.0,3.0,9.0,1073.0,128.0,563.0,496.0,20.0,6.0,1073.0,4.0,4.0,100.0,5.0,1.0,736.0,2.0,0,21,8,0,19,0.0,0.0,0,70.0,32.0,34.0,48.5
Giovanni Gonzalez,uy URU,DF,Mallorca,es La Liga,26,1994,4.1,9.0,3,4.0,4.0,1.0,3.0,5.0,60.0,2.0,7.0,2.0,5.0,4,13.0,14.0,0.0,1,3,1,33.3,0.74,0.25,0.33,1.0,13.4,0.0,0,0,0.4,0.4,0.13,0.6,0.6,7.0,1.72,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,203.0,73.4,2232.0,832.0,78.0,90.0,86.7,57.0,79.0,72.2,6.0,19.0,31.6,0,0.8,0.6,-0.8,6.0,10.0,3.0,0.0,9.0,9,3,365,1,1,0,0.25,0.0,0.25,0.25,0.25,1.2,0.1,0.19,0.29,0.1,0.29,159.0,44.0,4.0,1.0,0.0,10,40.0,0.0,0.0,0.0,0.0,0.0,4.0,245.0,21.0,67.0,109.0,74.0,9.0,245.0,3.0,4.0,75.0,2.0,3.0,123.0,11.0,0,3,3,0,3,0.0,0.0,0,20.0,6.0,12.0,33.3
Nicolas Gonzalez,ar ARG,FW,Fiorentina,it Serie A,23,1998,26.2,21.0,16,6.0,8.0,7.0,9.0,28.0,32.1,19.0,26.0,2.0,24.0,21,42.0,4.0,1.0,7,69,19,27.5,2.63,0.73,0.06,0.21,16.3,0.0,3,3,10.4,8.0,0.12,-3.4,-4.0,95.0,3.63,58.0,2.0,7.0,10.0,17.0,1.0,14.0,0.53,6.0,0.0,1.0,1.0,5.0,1.0,693.0,940.0,73.7,12669.0,2404.0,326.0,411.0,79.3,260.0,329.0,79.0,95.0,126.0,75.4,6,4.9,4.8,1.1,37.0,46.0,32.0,9.0,66.0,33,26,2357,4,4,1,0.27,0.23,0.5,0.15,0.38,12.9,0.4,0.19,0.58,0.31,0.49,897.0,37.0,6.0,3.0,26.0,64,27.0,3.0,2.0,0.0,0.0,6.0,27.0,1303.0,7.0,113.0,569.0,648.0,135.0,1300.0,57.0,115.0,49.6,97.0,39.0,1036.0,152.0,1,30,97,5,16,3.0,0.0,0,95.0,66.0,59.0,52.8
Peter Gonzalez,do DOM,"MF,DF",Real Madrid,es La Liga,19,2002,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0,2,1,50.0,6.67,3.33,0.0,0.0,22.8,0.0,0,0,0.1,0.1,0.04,-0.1,-0.1,5.0,16.67,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,18.0,77.8,197.0,31.0,10.0,10.0,100.0,2.0,4.0,50.0,2.0,3.0,66.7,0,0.2,0.1,-0.2,2.0,0.0,0.0,0.0,1.0,3,0,27,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3,0.26,0.81,1.06,0.26,1.06,17.0,1.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,1.0,5.0,8.0,12.0,2.0,25.0,1.0,1.0,100.0,1.0,1.0,18.0,1.0,0,0,2,0,0,0.0,0.0,0,3.0,0.0,1.0,0.0
Roberto Gonzalez,es ESP,"FW,MF",Betis,es La Liga,20,2001,1.5,5.0,4,3.0,2.0,0.0,4.0,6.0,66.7,2.0,5.0,0.0,5.0,1,6.0,1.0,0.0,0,2,0,0.0,1.33,0.0,0.0,,17.0,0.0,0,0,0.1,0.1,0.06,-0.1,-0.1,1.0,0.67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,37.0,78.4,376.0,81.0,21.0,24.0,87.5,5.0,10.0,50.0,2.0,2.0,100.0,0,0.1,0.0,-0.1,1.0,3.0,0.0,0.0,2.0,4,1,135,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.08,0.05,0.13,0.08,0.13,36.0,1.0,0.0,1.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,1.0,7.0,27.0,24.0,2.0,58.0,2.0,5.0,40.0,3.0,1.0,38.0,5.0,0,2,3,0,4,0.0,0.0,0,2.0,1.0,1.0,50.0
Charlie Goode,eng ENG,DF,Brentford,eng Premier League,25,1995,5.0,7.0,5,5.0,2.0,0.0,4.0,4.0,100.0,0.0,4.0,2.0,2.0,2,9.0,8.0,0.0,0,2,0,0.0,0.4,0.0,0.0,,11.4,0.0,0,0,0.1,0.1,0.06,-0.1,-0.1,12.0,2.4,2.0,7.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.0,304.0,64.1,4380.0,1512.0,46.0,66.0,69.7,113.0,154.0,73.4,36.0,73.0,49.3,0,1.0,0.7,-1.0,7.0,17.0,2.0,2.0,10.0,6,4,450,0,3,0,0.0,0.0,0.0,0.0,0.0,1.1,0.02,0.2,0.22,0.02,0.22,229.0,74.0,7.0,0.0,3.0,6,67.0,0.0,0.0,0.0,0.0,1.0,7.0,337.0,20.0,113.0,159.0,66.0,10.0,337.0,5.0,7.0,71.4,3.0,1.0,162.0,7.0,0,5,7,0,5,0.0,1.0,0,30.0,15.0,8.0,65.2
Anthony Gordon,eng ENG,"MF,FW",Everton,eng Premier League,20,2001,25.4,54.0,32,20.0,30.0,4.0,21.0,59.0,35.6,38.0,49.0,3.0,46.0,22,76.0,17.0,0.0,4,44,18,40.9,1.73,0.71,0.09,0.22,18.8,5.0,0,0,4.8,4.8,0.11,-0.8,-0.8,77.0,3.03,38.0,14.0,7.0,3.0,13.0,2.0,5.0,0.2,1.0,2.0,0.0,0.0,2.0,0.0,482.0,743.0,64.9,6816.0,1929.0,265.0,340.0,77.9,151.0,224.0,67.4,28.0,92.0,30.4,2,3.9,3.1,-1.9,35.0,27.0,21.0,8.0,48.0,35,25,2285,4,4,0,0.16,0.08,0.24,0.16,0.24,8.7,0.19,0.15,0.34,0.19,0.34,649.0,89.0,25.0,2.0,3.0,119,6.0,50.0,26.0,18.0,0.0,5.0,28.0,1093.0,21.0,161.0,382.0,576.0,76.0,1093.0,38.0,80.0,47.5,74.0,37.0,660.0,81.0,0,25,64,8,32,2.0,0.0,0,116.0,17.0,38.0,30.9
Kaide Gordon,eng ENG,FW,Liverpool,eng Premier League,16,2004,0.1,1.0,0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0,1,1,100.0,10.0,10.0,0.0,0.0,19.7,0.0,0,0,0.4,0.4,0.41,-0.4,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,100.0,35.0,0.0,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.4,4.06,0.0,4.06,4.06,4.06,4.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,4.0,3.0,0.0,7.0,0.0,1.0,0.0,0.0,1.0,6.0,3.0,0,1,0,0,0,0.0,0.0,0,0.0,0.0,1.0,0.0
Leon Goretzka,de GER,MF,Bayern Munich,de Bundesliga,26,1995,15.5,25.0,15,12.0,9.0,4.0,11.0,26.0,42.3,15.0,11.0,1.0,10.0,17,42.0,23.0,2.0,3,45,12,26.7,2.9,0.77,0.07,0.25,17.7,0.0,0,0,5.0,5.0,0.11,-2.0,-2.0,68.0,4.38,57.0,1.0,1.0,6.0,3.0,0.0,9.0,0.58,8.0,0.0,0.0,0.0,1.0,0.0,708.0,854.0,82.9,11193.0,3541.0,346.0,401.0,86.3,282.0,314.0,89.8,46.0,74.0,62.2,3,2.6,3.7,0.4,28.0,73.0,24.0,2.0,82.0,19,19,1396,3,0,0,0.19,0.19,0.39,0.19,0.39,7.6,0.32,0.17,0.49,0.32,0.49,834.0,15.0,3.0,5.0,7.0,9,7.0,1.0,0.0,0.0,0.0,5.0,16.0,1035.0,27.0,188.0,555.0,302.0,57.0,1035.0,10.0,14.0,71.4,27.0,13.0,733.0,67.0,0,15,10,1,15,0.0,0.0,0,108.0,31.0,15.0,67.4
Gori,es ESP,MF,Espanyol,es La Liga,19,2002,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,2.0,0,0.0,0.0,0.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,2.0,20.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,83.3,68.0,36.0,4.0,4.0,100.0,1.0,1.0,100.0,0.0,1.0,0.0,0,0.1,0.0,-0.1,1.0,1.0,0.0,0.0,1.0,1,0,9,0,1,0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.74,0.74,0.0,0.74,6.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,4.0,3.0,0.0,8.0,0.0,0.0,,0.0,0.0,5.0,0.0,0,1,0,0,0,0.0,0.0,0,0.0,0.0,1.0,0.0
Andoni Gorosabel,es ESP,DF,Real Sociedad,es La Liga,24,1996,25.4,47.0,31,32.0,9.0,6.0,25.0,47.0,53.2,22.0,16.0,3.0,13.0,18,65.0,49.0,0.0,0,11,0,0.0,0.43,0.0,0.0,,19.6,0.0,0,0,0.8,0.8,0.07,-0.8,-0.8,50.0,1.97,40.0,4.0,2.0,2.0,2.0,0.0,4.0,0.16,4.0,0.0,0.0,0.0,0.0,0.0,1199.0,1453.0,82.5,17610.0,6525.0,675.0,729.0,92.6,413.0,508.0,81.3,56.0,117.0,47.9,4,3.1,3.3,0.9,22.0,58.0,27.0,13.0,72.0,32,25,2289,0,4,0,0.0,0.16,0.16,0.0,0.16,3.9,0.03,0.12,0.15,0.03,0.15,1172.0,281.0,26.0,0.0,1.0,63,252.0,3.0,0.0,3.0,0.0,0.0,29.0,1651.0,62.0,423.0,798.0,450.0,31.0,1651.0,18.0,34.0,52.9,27.0,14.0,977.0,59.0,0,27,18,0,31,0.0,0.0,0,137.0,22.0,30.0,42.3
Robin Gosens,de GER,DF,Atalanta,it Serie A,27,1994,5.1,7.0,3,3.0,4.0,0.0,4.0,8.0,50.0,4.0,4.0,0.0,4.0,9,16.0,1.0,0.0,1,15,4,26.7,2.93,0.78,0.07,0.25,13.2,0.0,0,0,2.0,2.0,0.13,-1.0,-1.0,12.0,2.35,8.0,0.0,0.0,2.0,2.0,0.0,1.0,0.2,0.0,0.0,0.0,0.0,1.0,0.0,212.0,261.0,81.2,3294.0,1266.0,121.0,134.0,90.3,76.0,94.0,80.9,12.0,20.0,60.0,0,0.5,0.4,-0.5,6.0,13.0,6.0,2.0,28.0,6,5,460,1,2,0,0.2,0.0,0.2,0.2,0.2,2.5,0.38,0.1,0.48,0.38,0.48,221.0,39.0,1.0,0.0,2.0,5,38.0,0.0,0.0,0.0,0.0,1.0,2.0,309.0,9.0,62.0,142.0,105.0,22.0,309.0,0.0,3.0,0.0,6.0,1.0,195.0,13.0,0,3,5,1,3,1.0,0.0,0,22.0,12.0,4.0,75.0
Robin Gosens,de GER,DF,Inter,it Serie A,27,1994,1.9,3.0,1,1.0,2.0,0.0,0.0,0.0,,0.0,5.0,2.0,3.0,3,6.0,3.0,0.0,0,4,1,25.0,2.13,0.53,0.0,0.0,17.6,0.0,0,0,0.3,0.3,0.06,-0.3,-0.3,6.0,3.21,5.0,0.0,0.0,1.0,0.0,0.0,1.0,0.54,1.0,0.0,0.0,0.0,0.0,0.0,83.0,107.0,77.6,1261.0,381.0,51.0,57.0,89.5,28.0,37.0,75.7,4.0,9.0,44.4,1,0.5,0.6,0.5,2.0,8.0,1.0,1.0,7.0,7,0,169,0,1,0,0.0,0.53,0.53,0.0,0.53,0.8,0.13,0.28,0.41,0.13,0.41,97.0,9.0,0.0,0.0,0.0,7,9.0,0.0,0.0,0.0,0.0,1.0,3.0,126.0,8.0,30.0,55.0,43.0,9.0,126.0,0.0,1.0,0.0,3.0,0.0,80.0,8.0,0,1,2,2,1,0.0,0.0,0,13.0,4.0,1.0,80.0
Dan Gosling,eng ENG,MF,Watford,eng Premier League,31,1990,1.8,2.0,1,1.0,1.0,0.0,2.0,6.0,33.3,4.0,2.0,0.0,2.0,0,2.0,3.0,0.0,1,2,1,50.0,1.08,0.54,0.5,1.0,16.6,0.0,0,0,0.2,0.2,0.11,0.8,0.8,2.0,1.08,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,65.0,84.6,836.0,216.0,31.0,33.0,93.9,19.0,22.0,86.4,4.0,6.0,66.7,0,0.1,0.0,-0.1,1.0,4.0,0.0,0.0,4.0,4,2,166,1,0,0,0.54,0.0,0.54,0.54,0.54,0.3,0.12,0.04,0.16,0.12,0.16,64.0,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,1.0,2.0,83.0,9.0,29.0,38.0,18.0,3.0,83.0,2.0,2.0,100.0,2.0,1.0,50.0,4.0,0,2,5,0,1,0.0,0.0,0,14.0,5.0,4.0,55.6
Amine Gouiri,fr FRA,"FW,MF",Nice,fr Ligue 1,21,2000,30.6,22.0,13,2.0,13.0,7.0,10.0,32.0,31.3,22.0,22.0,5.0,17.0,11,33.0,17.0,1.0,10,71,33,46.5,2.32,1.08,0.1,0.21,18.2,2.0,3,5,12.6,8.7,0.12,-2.6,-1.7,132.0,4.31,75.0,19.0,21.0,9.0,7.0,1.0,17.0,0.56,14.0,0.0,2.0,0.0,1.0,0.0,786.0,1044.0,75.3,11948.0,2754.0,449.0,525.0,85.5,232.0,290.0,80.0,69.0,127.0,54.3,9,6.8,6.1,2.2,49.0,56.0,33.0,8.0,61.0,38,32,2754,7,3,0,0.33,0.29,0.62,0.23,0.52,15.5,0.41,0.22,0.64,0.28,0.51,930.0,111.0,25.0,6.0,5.0,98,6.0,63.0,32.0,21.0,1.0,3.0,37.0,1380.0,19.0,98.0,589.0,709.0,131.0,1375.0,62.0,121.0,51.2,68.0,56.0,1032.0,176.0,0,30,33,6,13,1.0,0.0,0,89.0,12.0,24.0,33.3
Lucas Gourna-Douath,fr FRA,MF,Saint-Étienne,fr Ligue 1,17,2003,20.0,45.0,26,22.0,18.0,5.0,21.0,36.0,58.3,15.0,22.0,3.0,19.0,13,58.0,9.0,2.0,1,12,2,16.7,0.6,0.1,0.08,0.5,17.2,0.0,0,0,1.7,1.7,0.14,-0.7,-0.7,28.0,1.4,24.0,0.0,3.0,1.0,0.0,0.0,1.0,0.05,0.0,0.0,0.0,1.0,0.0,0.0,752.0,853.0,88.2,12833.0,2930.0,345.0,389.0,88.7,304.0,329.0,92.4,72.0,90.0,80.0,0,0.3,0.4,-0.3,9.0,74.0,2.0,1.0,37.0,31,20,1804,1,7,0,0.05,0.0,0.05,0.05,0.05,2.0,0.08,0.02,0.1,0.08,0.1,829.0,23.0,11.0,1.0,14.0,4,11.0,0.0,0.0,0.0,0.0,1.0,7.0,1039.0,30.0,254.0,651.0,160.0,12.0,1039.0,17.0,29.0,58.6,32.0,23.0,649.0,25.0,0,36,28,0,26,0.0,1.0,0,157.0,11.0,18.0,37.9
Jeffrey Gouweleeuw,nl NED,DF,Augsburg,de Bundesliga,30,1991,28.6,50.0,27,33.0,17.0,0.0,22.0,36.0,61.1,14.0,35.0,18.0,17.0,49,99.0,116.0,0.0,2,11,4,36.4,0.38,0.14,0.09,0.25,19.9,1.0,1,1,1.9,1.2,0.11,0.1,-0.2,26.0,0.91,22.0,2.0,0.0,1.0,0.0,1.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,861.0,1210.0,71.2,19033.0,8374.0,249.0,308.0,80.8,446.0,537.0,83.1,154.0,319.0,48.3,0,1.1,1.9,-1.1,8.0,77.0,16.0,1.0,58.0,29,29,2576,1,9,0,0.07,0.0,0.07,0.03,0.03,2.3,0.07,0.04,0.11,0.04,0.08,1131.0,64.0,60.0,2.0,25.0,6,4.0,0.0,0.0,0.0,0.0,15.0,9.0,1532.0,198.0,857.0,623.0,76.0,26.0,1531.0,14.0,19.0,73.7,23.0,6.0,787.0,9.0,0,32,8,0,27,0.0,2.0,0,189.0,43.0,47.0,47.8
Jonathan Gradit,fr FRA,DF,Lens,fr Ligue 1,28,1992,34.1,60.0,28,24.0,28.0,8.0,25.0,45.0,55.6,20.0,39.0,27.0,12.0,65,125.0,106.0,0.0,0,5,0,0.0,0.15,0.0,0.0,,30.0,0.0,0,0,0.2,0.2,0.04,-0.2,-0.2,40.0,1.17,38.0,0.0,0.0,1.0,0.0,1.0,5.0,0.15,5.0,0.0,0.0,0.0,0.0,0.0,1840.0,2072.0,88.8,33548.0,11500.0,747.0,803.0,93.0,900.0,976.0,92.2,166.0,235.0,70.6,0,1.5,1.1,-1.5,15.0,207.0,13.0,3.0,147.0,35,35,3067,0,7,0,0.0,0.0,0.0,0.0,0.0,1.7,0.01,0.04,0.05,0.01,0.05,2016.0,53.0,45.0,2.0,26.0,10,8.0,0.0,0.0,0.0,0.0,3.0,11.0,2387.0,169.0,785.0,1497.0,131.0,3.0,2387.0,16.0,21.0,76.2,15.0,9.0,1668.0,9.0,0,41,37,0,28,0.0,0.0,0,221.0,47.0,52.0,47.5
Jens Grahl,de GER,GK,Eint Frankfurt,de Bundesliga,32,1988,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,29.0,82.8,535.0,380.0,3.0,3.0,100.0,19.0,20.0,95.0,2.0,6.0,33.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,11.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,32.0,32.0,0.0,0.0,0.0,32.0,0.0,0.0,,0.0,0.0,14.0,0.0,0,0,0,0,0,0.0,0.0,0,2.0,0.0,0.0,
Alberto Grassi,it ITA,MF,Cagliari,it Serie A,26,1995,24.2,47.0,26,13.0,30.0,4.0,16.0,38.0,42.1,22.0,27.0,9.0,18.0,63,110.0,33.0,1.0,0,24,2,8.3,0.99,0.08,0.0,0.0,19.8,0.0,0,0,1.3,1.3,0.06,-1.3,-1.3,41.0,1.7,29.0,2.0,0.0,4.0,4.0,2.0,3.0,0.12,2.0,0.0,0.0,1.0,0.0,0.0,840.0,1041.0,80.7,14204.0,3411.0,382.0,451.0,84.7,378.0,438.0,86.3,54.0,94.0,57.4,1,1.8,1.1,-0.8,15.0,65.0,6.0,1.0,59.0,30,26,2174,0,6,1,0.0,0.04,0.04,0.0,0.04,3.1,0.06,0.07,0.13,0.06,0.13,998.0,37.0,35.0,2.0,5.0,5,1.0,1.0,1.0,0.0,0.0,6.0,16.0,1325.0,76.0,355.0,803.0,180.0,21.0,1325.0,18.0,27.0,66.7,27.0,16.0,750.0,22.0,1,28,60,1,26,0.0,0.0,0,176.0,54.0,28.0,65.9
Jaume Grau,es ESP,MF,Osasuna,es La Liga,24,1997,0.0,1.0,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,50.0,43.0,26.0,1.0,3.0,33.3,0.0,0.0,,1.0,1.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,3.0,0.0,0.0,4.0,0.0,0.0,,0.0,0.0,3.0,0.0,0,0,0,0,1,0.0,0.0,0,1.0,0.0,1.0,0.0
Andrew Gravillon,gp GLP,DF,Reims,fr Ligue 1,23,1998,23.7,32.0,24,19.0,13.0,0.0,17.0,27.0,63.0,10.0,25.0,15.0,10.0,33,65.0,83.0,1.0,0,16,4,25.0,0.67,0.17,0.0,0.0,20.5,2.0,0,0,1.0,1.0,0.06,-1.0,-1.0,22.0,0.93,15.0,4.0,1.0,2.0,0.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,718.0,950.0,75.6,14232.0,6063.0,269.0,321.0,83.8,341.0,417.0,81.8,98.0,179.0,54.7,0,0.6,0.9,-0.6,10.0,66.0,8.0,6.0,51.0,26,24,2135,0,9,2,0.0,0.0,0.0,0.0,0.0,1.6,0.04,0.03,0.07,0.04,0.07,830.0,117.0,40.0,0.0,25.0,24,74.0,0.0,0.0,0.0,0.0,3.0,13.0,1190.0,144.0,559.0,520.0,122.0,13.0,1190.0,5.0,11.0,45.5,25.0,9.0,678.0,6.0,2,35,21,0,24,0.0,1.0,0,97.0,32.0,27.0,54.2
Demarai Gray,eng ENG,"MF,FW",Everton,eng Premier League,25,1996,26.0,30.0,19,13.0,10.0,7.0,10.0,22.0,45.5,12.0,30.0,2.0,28.0,15,45.0,21.0,1.0,5,65,17,26.2,2.5,0.65,0.08,0.29,20.5,4.0,0,0,5.8,5.8,0.09,-0.8,-0.8,88.0,3.39,50.0,15.0,11.0,7.0,5.0,0.0,5.0,0.19,3.0,1.0,0.0,1.0,0.0,0.0,555.0,769.0,72.2,9290.0,2076.0,277.0,315.0,87.9,182.0,246.0,74.0,65.0,129.0,50.4,4,4.1,3.5,-0.1,41.0,23.0,23.0,7.0,38.0,34,28,2338,5,3,0,0.19,0.15,0.35,0.19,0.35,9.9,0.22,0.16,0.38,0.22,0.38,662.0,106.0,31.0,3.0,5.0,129,6.0,56.0,29.0,24.0,0.0,1.0,31.0,1079.0,18.0,117.0,369.0,616.0,86.0,1079.0,55.0,106.0,51.9,70.0,36.0,704.0,122.0,0,12,32,3,19,0.0,0.0,0,100.0,4.0,31.0,11.4
Adrian Grbic,at AUT,"FW,MF",Lorient,fr Ligue 1,24,1996,5.8,2.0,1,0.0,2.0,0.0,2.0,6.0,33.3,4.0,3.0,1.0,2.0,0,2.0,7.0,0.0,1,12,7,58.3,2.08,1.22,0.08,0.14,19.0,4.0,0,0,1.6,1.6,0.14,-0.6,-0.6,7.0,1.22,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,109.0,62.4,699.0,120.0,51.0,76.0,67.1,8.0,13.0,61.5,0.0,1.0,0.0,0,0.3,0.3,-0.3,4.0,3.0,0.0,0.0,4.0,16,4,518,1,0,0,0.17,0.0,0.17,0.17,0.17,2.0,0.29,0.06,0.34,0.29,0.34,99.0,10.0,1.0,0.0,0.0,3,1.0,0.0,0.0,0.0,0.0,0.0,3.0,159.0,10.0,22.0,73.0,64.0,15.0,159.0,1.0,5.0,20.0,12.0,4.0,108.0,25.0,0,6,9,2,1,0.0,0.0,0,14.0,13.0,20.0,39.4
Ivo Grbic,hr CRO,GK,Lille,fr Ligue 1,25,1996,21.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,14.0,1.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,3.0,0.14,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,397.0,585.0,67.9,11507.0,9011.0,96.0,96.0,100.0,156.0,158.0,98.7,143.0,329.0,43.5,0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,21,21,1890,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,213.0,47.0,0.0,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,631.0,556.0,624.0,7.0,0.0,0.0,631.0,1.0,1.0,100.0,1.0,2.0,225.0,0.0,0,0,7,0,0,0.0,0.0,0,19.0,7.0,0.0,100.0
